YEAR,MONTH,AIRLINE,avg_dep_delay,avg_arr_delay,total_flights
2015,1,AA,10.59,6.96,44059
2015,1,AS,3.18,-0.32,13257
2015,1,B6,10.04,7.35,21623
2015,1,DL,5.9,-2.04,64421
2015,1,EV,9.75,8.54,49925
2015,1,F9,17.98,18.36,6829
2015,1,HA,1.31,3.51,6440
2015,1,MQ,16.08,18.16,29900
2015,1,NK,13.15,11.4,8743
2015,1,OO,12.16,10.89,48114
2015,1,UA,14.01,6.35,38395
2015,1,US,5.2,3.11,33489
2015,1,VX,6.91,1.42,4731
2015,1,WN,9.51,3.39,100042
2015,2,AA,10.26,7.53,39835
2015,2,AS,2.7,-0.78,12194
2015,2,B6,19.67,18.66,19751
2015,2,DL,12.23,5.61,60884
2015,2,EV,11.23,10.42,45138
2015,2,F9,25.71,27.42,5809
2015,2,HA,2.58,6.03,5779
2015,2,MQ,18.6,21.3,26940
2015,2,NK,16.96,16.47,8089
2015,2,OO,10.95,9.59,43989
2015,2,UA,14.91,7.26,36235
2015,2,US,9.12,7.11,30153
2015,2,VX,12.6,7.78,4223
2015,2,WN,9.86,3.5,90172
2015,3,AA,11.09,6.69,45966
2015,3,AS,3.06,-0.54,14276
2015,3,B6,15.17,10.74,22590
2015,3,DL,8.44,2.08,74166
2015,3,EV,8.89,6.73,54190
2015,3,F9,20.01,20.07,6950
2015,3,HA,0.82,3.47,6313
2015,3,MQ,12.31,11.02,28146
2015,3,NK,12.61,10.04,9400
2015,3,OO,5.85,3.18,50078
2015,3,UA,13.96,4.89,43603
2015,3,US,5.96,3.33,34516
2015,3,VX,10.59,5.35,4873
2015,3,WN,10.13,3.26,109245
2015,4,AA,10.56,4.93,44770
2015,4,AS,0.0,-3.01,13974
2015,4,B6,8.33,2.78,22020
2015,4,DL,6.23,0.08,72170
2015,4,EV,6.8,4.82,49296
2015,4,F9,11.72,12.64,7148
2015,4,HA,-2.22,0.01,6093
2015,4,MQ,8.9,5.13,25695
2015,4,NK,9.93,8.77,9496
2015,4,OO,5.35,3.22,49329
2015,4,UA,12.98,4.38,41342
2015,4,US,4.51,2.66,32496
2015,4,VX,5.65,1.0,4915
2015,4,WN,8.82,3.0,106407
2015,5,AA,11.11,5.17,44710
2015,5,AS,-0.2,-1.72,14682
2015,5,B6,7.03,-0.71,22565
2015,5,DL,7.49,0.15,74815
2015,5,EV,10.09,7.72,49213
2015,5,F9,11.23,13.01,8118
2015,5,HA,-1.35,0.83,6434
2015,5,MQ,9.55,5.47,25431
2015,5,NK,23.61,22.4,10051
2015,5,OO,6.02,4.14,49864
2015,5,UA,14.7,6.83,44411
2015,5,US,4.07,0.68,33761
2015,5,VX,10.71,7.1,5236
2015,5,WN,11.93,5.68,107702
2015,6,AA,14.18,8.19,44360
2015,6,AS,1.94,-0.22,15075
