AIRLINE,avg_dep_delay,avg_arr_delay,avg_weather_delay,avg_airline_delay,avg_late_aircraft_delay,avg_air_system_delay,total_flights
NK,15.94,14.47,1.29,13.77,20.49,27.51,117379
F9,13.35,12.5,0.92,14.72,26.9,24.66,90836
B6,11.51,6.68,1.96,18.15,23.95,16.75,267048
EV,8.72,6.59,1.55,21.65,24.08,15.46,571977
MQ,10.13,6.46,6.64,17.43,23.4,15.37,294632
OO,7.8,5.85,2.32,18.96,26.61,12.38,588353
UA,14.44,5.43,3.1,21.14,26.02,14.42,515723
VX,9.02,4.74,2.99,11.1,21.69,20.36,61903
WN,10.58,4.37,2.3,16.19,26.68,7.05,1261855
US,6.14,3.71,1.93,17.41,14.31,16.47,198715
AA,8.9,3.45,3.59,21.14,21.75,13.51,725984
HA,0.49,2.02,1.33,22.79,14.7,0.72,76272
DL,7.37,0.19,5.11,22.94,18.1,15.08,875881
AS,1.79,-0.98,1.74,15.54,17.06,13.49,172521
